item_id,item_name,unit_id,unit_name,category,subcategory,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carb,dietary_fiber,sugars,protein,ingredients,allergens,scraped_at
243782327,Bacon Swiss and Arugula Egg Bite,13,Cafe,Breakfast,,2.7 oz Portion (77g),180,15g,7g,NA,220mg,390mg,2g,0g,0g,9g,"Large White Eggs, Heavy Whipping Cream (HEAVY CREAM (MILK), MILK, CONTAINS LESS THAN 0.5% OF: CARRAGEENAN, MONO AND DIGLYCERIDES, POLYSORBATE 80), Bacon Cooked (Bacon Pork 14-18 Ct Laid Out Applewood), Green Arugula (ARUGULA), Sliced Swiss Cheese .75 oz (PASTEURIZED PART SKIM MILK, CHEESE CULTURES, SALT, ENZYMES.), Jumbo Yellow Onion, Ground Black Pepper (BLACK PEPPER), Ground Nutmeg, Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA)",,2025-05-31T22:51:08.107609
243782328,Spinach Feta Roasted Red Pepper Egg Bite,13,Cafe,Breakfast,,2.9 oz Portion (82g),160,14g,7g,NA,205mg,410mg,2g,0g,< 1g,7g,"Large White Eggs, Heavy Whipping Cream (HEAVY CREAM (MILK), MILK, CONTAINS LESS THAN 0.5% OF: CARRAGEENAN, MONO AND DIGLYCERIDES, POLYSORBATE 80), Baby Spinach Flat Leaves, Cnd Whole Fire Roasted Red Pepper (ROASTED PEPPERS, WATER, SALT, CITRIC ACID), Cheese Feta Loaf Vac Pac (PASTEURIZED MILK, SALT, CHEESE CULTURE, AND ENZYMES. ALLERGENS CONTAINS DAIRY.), Jumbo Yellow Onion, Ground Black Pepper (BLACK PEPPER), Ground Nutmeg, Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA)","Large White Eggs, Heavy Whipping Cream (HEAVY CREAM (MILK), MILK, CONTAINS LESS THAN 0.5% OF: CARRAGEENAN, MONO AND DIGLYCERIDES, POLYSORBATE 80), Baby Spinach Flat Leaves, Cnd Whole Fire Roasted Red Pepper (ROASTED PEPPERS, WATER, SALT, CITRIC ACID), Cheese Feta Loaf Vac Pac (PASTEURIZED MILK, SALT, CHEESE CULTURE, AND ENZYMES. ALLERGENS CONTAINS DAIRY.), Jumbo Yellow Onion, Ground Black Pepper (BLACK PEPPER), Ground Nutmeg, Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA)",2025-05-31T22:51:09.069873
243782329,Bacon Egg and Cheese Croissant,13,Cafe,Breakfast,,Sandwich (257g),840,58g,25g,NA,520mg,1480mg,33g,1g,6g,44g,"Egg Shell Extra-Large Grade Aa White, Croissant (Flour All Purpose Sanford SG, Unsalted Solid Butter (PASTEURIZED CREAM, NATURAL FLAVORINGS), 20 oz Distilled Water (WATER), Gallon Whole Milk Vit D (MILK, VITAMIN D3), White Granulated Cane Sugar (GRANULATED SUGAR), Instant Bakers Dried Yeast (YEAST, SORBITAN MONOSTEARATE, ASCORBIC ACID), Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA)), Bacon Cooked (Bacon Pork 14-18 Ct Laid Out Applewood), Cheese Cheddar Mild SHRED (CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO [COLOR]), POTATO STARCH AND POWERED CELLULOSE ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR).)",,2025-05-31T22:51:09.994164
243782330,Zaatar Croissant,13,Cafe,Breakfast,,Croissant (90g),330,18g,9g,NA,60mg,240mg,34g,2g,6g,5g,"Croissant (Flour All Purpose Sanford SG, Unsalted Solid Butter (PASTEURIZED CREAM, NATURAL FLAVORINGS), 20 oz Distilled Water (WATER), Gallon Whole Milk Vit D (MILK, VITAMIN D3), White Granulated Cane Sugar (GRANULATED SUGAR), Instant Bakers Dried Yeast (YEAST, SORBITAN MONOSTEARATE, ASCORBIC ACID), Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA)), Zaatar Jordanian Saladalia (OREGANO, SESAME, CHICKPEAS, SALT, MINT, FENNEL, CORIANDER, ANISE, CUMIN, CITRIC ACID), Egg Wash (Egg Shell Extra-Large Grade Aa White), Ground Sumac, White Sesame Seeds",,2025-05-31T22:51:10.921687
243782331,Greek Scrambler,13,Cafe,Breakfast,,Burrito (272g),630,35g,14g,NA,425mg,1240mg,50g,2g,2g,30g,"Large White Eggs, Tortilla Flour 12"" Pressed Frozen Wrap (BLEACHED ENRICHED WHEAT FLOUR (FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SOYBEAN OIL, HYDROGENATED VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: COTTONSEED OIL, SOYBEAN OIL), MONO- AND DIGLYCERIDES, CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), FUMARIC ACID, SODIUM BICARBONATE, DOUGH CONDITIONER (WHEAT FLOUR, CALCIUM SULFATE, SORBIC ACID), PRESERVATIVE (SODIUM PROPIONATE AND POTASSIUM SORBATE).), Cheese Provolone Sliced .5 oz (PASTUERIZED MILK, CHEESE CULTURE, SALT, ENZYMES.), Cheese Feta Crumble 5 lb (FETA CHEESE (CULTURED PASTEURIZED PART-SKIM MILK, SALT, ENZYMES), POTATO STARCH AND POWDERED CELLULOSE ADDED TO PREVENT CAKING, NATAMYCIN ADDED TO MAINTAIN FRESHNESS), Pepper Bell Green Large 22-28, Jumbo Red Onion",,2025-05-31T22:51:11.847312
243782332,Broccoli Quiche,13,Cafe,Breakfast,,Slice (271g),690,51g,26g,3g,295mg,830mg,37g,4g,3g,18g,"Broccoli Florets, Ciliegine Mozzarella Ball (PASTEURIZED MILK, VINEGAR, SALT, ENZYMES. CONTAINS: MILK.), Heavy Whipping Cream (HEAVY CREAM (MILK), MILK, CONTAINS LESS THAN 0.5% OF: CARRAGEENAN, MONO AND DIGLYCERIDES, POLYSORBATE 80), Shell Pie 9"" Raw Frozen (ENRICHED FLOUR ( WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), PARTIALLY HYDROGENATED VEGETABLE OIL (SOYBEAN AND/OR COTTONSEED OILS), WATER, HIGH FRUCTOSE CORN SYRUP, SALT, SOY FLOUR.  PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS MADE WITH PEANUTS, TREE NUTS (WALNUTS, COCONUT), MILK AND SOY.), Egg Shell Extra-Large Grade Aa White, Jumbo Yellow Onion, Ground Nutmeg, Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA), Spice Pepper Black Ground",,2025-05-31T22:51:12.746681
243782333,Quiche Lorraine,13,Cafe,Breakfast,,Slice (237g),670,48g,23g,3g,300mg,1040mg,33g,2g,3g,23g,"Heavy Whipping Cream (HEAVY CREAM (MILK), MILK, CONTAINS LESS THAN 0.5% OF: CARRAGEENAN, MONO AND DIGLYCERIDES, POLYSORBATE 80), Shell Pie 9"" Raw Frozen (ENRICHED FLOUR ( WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), PARTIALLY HYDROGENATED VEGETABLE OIL (SOYBEAN AND/OR COTTONSEED OILS), WATER, HIGH FRUCTOSE CORN SYRUP, SALT, SOY FLOUR.  PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS MADE WITH PEANUTS, TREE NUTS (WALNUTS, COCONUT), MILK AND SOY.), Ham Bnls D Shaped Smkd Applewood (PORK, WATER, CANE SUGAR, SALT, NATURAL FLAVOR.), Egg Shell Extra-Large Grade Aa White, Ciliegine Mozzarella Ball (PASTEURIZED MILK, VINEGAR, SALT, ENZYMES. CONTAINS: MILK.), Jumbo Yellow Onion, Ground Nutmeg, Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA), Spice Pepper Black Ground",,2025-05-31T22:51:13.641736
243782334,Brown Sugar,13,Cafe,Breakfast,,1.5 oz Portion (43g),160,0g,0g,0g,0mg,0mg,42g,0g,42g,0g,"Sugar Light Brown Gran Cane 25 lb (BROWN SUGAR (SUGAR, CANE SYRUPS))",,2025-05-31T22:51:14.552842
243782335,Granola Parfait,13,Cafe,Breakfast,,Parfait (291g),380,3.5g,0.5g,NA,15mg,95mg,67g,4g,39g,24g,"Plain Greek Yogurt FF (CULTURED GRADE A NON FAT MILK. CONTAINS ACTIVE YOGURT CULTURES.), Nut Free Granola HM (Oats Rolled Quick 100% OG, Syrup Corn Light Plastic Jug Gal (CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, WATER, SALT, NATURAL AND ARTIFICIAL VANILLA FLAVOR), Oil Canola Tff Salad (COTTONSEED OIL), Pancake Syrup (CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, WATER, SUGAR, NATURAL AND ARTIFICIAL FLAVOR, CARAMEL COLOR, SALT, CELLULOSE GUM, POTASSIUM SORBATE AND SODIUM BENZOATE.), Sugar Light Brown Gran Cane 25 lb (BROWN SUGAR (SUGAR, CANE SYRUPS)), Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA)), HONEY, SS CUP (HONEY), Banana, Blueberries Frz Monarch (BLUEBERRIES.)",,2025-05-31T22:51:15.469647
243782336,Organic Oatmeal,13,Cafe,Breakfast,,2.3 oz Portion (65g),250,4.5g,1g,NA,0mg,0mg,44g,7g,< 1g,9g,Oats Rolled Quick 100% OG,,2025-05-31T22:51:16.366853
